Route, Time [min] 
Distribution Centre Auckland--Countdown Newmarket--Countdown St Lukes--Distribution Centre Auckland, 178.66266666666667
Distribution Centre Auckland--Countdown Newmarket--Countdown Three Kings--Distribution Centre Auckland, 185.21516666666668
Distribution Centre Auckland--Countdown Newmarket--Countdown Victoria Street West--Distribution Centre Auckland, 197.37366666666668
Distribution Centre Auckland--Countdown Onehunga--Countdown Ponsonby--Distribution Centre Auckland, 189.24616666666668
Distribution Centre Auckland--Countdown Onehunga--Countdown Pt Chevalier--Distribution Centre Auckland, 186.58633333333336
Distribution Centre Auckland--Countdown Onehunga--Countdown St Johns--Distribution Centre Auckland, 182.27033333333335
Distribution Centre Auckland--Countdown Onehunga--Countdown St Lukes--Distribution Centre Auckland, 172.30266666666668
Distribution Centre Auckland--Countdown Onehunga--Countdown Three Kings--Distribution Centre Auckland, 170.99783333333335
Distribution Centre Auckland--Countdown Onehunga--Countdown Victoria Street West--Distribution Centre Auckland, 202.94733333333335
Distribution Centre Auckland--Countdown Ponsonby--Countdown Pt Chevalier--Distribution Centre Auckland, 193.86583333333334
